CustomerID,CustomerName,Gender,Age,City,State,Income,TotalPurchases,PurchaseFrequency,AverageOrderValue,LastPurchaseDays,PreferredCategory,CustomerLifetimeValue,FuturePurchase,Cluster
C062,Divya Sharma,1,41,8,3,133557,56,4,3722,26,1,208432,3813.53,1
C063,Rahul Kulkarni,0,57,4,6,98969,18,6,1667,41,0,30006,2372.37,0
C064,Neha Nair,0,50,1,2,68001,88,8,3116,35,2,274208,2738.42,1
C065,Divya Gupta,0,36,0,1,101552,140,20,1562,63,1,218680,4745.77,0
C066,Arjun Singh,0,60,2,5,48897,12,3,2656,25,0,31872,2188.81,1
C067,Sneha Jain,0,43,4,6,93148,64,16,5661,90,2,362304,5329.1,2
C068,Amit Mehta,0,31,2,5,146729,30,3,5805,75,4,174150,4510.48,1
C069,Vikas Kumar,0,46,4,6,149243,144,18,3482,38,5,501408,5680.52,2
C070,Riya Nair,1,60,5,4,145923,84,14,3794,2,2,318696,5460.83,2
C071,Anjali Yadav,0,23,3,0,145174,234,18,5229,7,3,1223586,6610.52,2
C072,Anjali Singh,1,27,5,4,48483,22,2,1656,82,2,36432,2003.95,0
C073,Priya Singh,0,57,8,3,149358,176,22,5834,34,2,1026784,7033.86,2
C074,Yash Joshi,1,42,3,0,73555,30,3,1232,17,5,36960,1842.95,0
C075,Nikhil Singh,1,59,7,7,42159,32,16,4830,43,3,154560,4286.76,1
C076,Neha Joshi,1,29,8,3,135510,72,9,5346,59,0,384912,5140.39,2
C077,Yash Sharma,1,25,2,5,131530,28,4,1453,51,0,40684,3116.92,0
C078,Arjun Kumar,0,46,7,7,105077,11,1,3039,54,2,33429,3152.2,1
C079,Divya Yadav,0,28,6,8,60920,52,4,3824,24,3,198848,3366.93,1
C080,Yash Mehta,1,58,7,7,117067,10,1,3801,25,3,38010,3144.78,1
C081,Riya Kulkarni,1,35,0,1,92121,28,14,2042,71,5,57176,4423.28,0
C082,Rahul Nair,0,33,7,7,94479,294,21,5793,52,4,1703142,6316.41,3
C083,Vikas Gupta,1,26,0,1,114475,80,16,1691,70,0,135280,4198.73,0
C084,Pooja Joshi,1,31,9,3,44457,200,20,3493,88,5,698600,4738.97,3
C085,Divya Joshi,0,52,3,0,91557,120,24,3181,33,1,381720,5872.4,2
C086,Divya Sharma,1,44,7,7,102189,88,8,1717,49,0,151096,2955.7,0
C087,Amit Jain,0,48,4,6,134109,28,7,2040,29,5,57120,4085.3,0
C088,Meera Mehta,0,44,8,3,103953,30,3,3736,63,0,112080,3549.42,1
C089,Pooja Kumar,1,35,2,5,77995,238,17,2886,22,4,686868,4930.59,3
C090,Riya Sharma,0,39,4,6,65757,3,1,4219,26,1,12657,2455.79,1
C091,Sneha Kumar,1,57,4,6,34692,80,16,1888,28,4,151040,2995.15,0
C092,Amit Joshi,1,23,2,5,70758,84,12,2356,85,1,197904,2717.97,0
C093,Arjun Kumar,1,21,4,6,97409,57,19,1865,49,2,106305,4565.24,0
C094,Nikhil Gupta,1,47,0,1,96211,198,22,999,71,5,197802,4545.39,0
C095,Vikas Joshi,0,44,1,2,90697,207,23,2180,81,1,451260,4714.56,2
C096,Rahul Kumar,1,52,0,1,62065,44,22,1010,84,4,44440,3899.92,0
C097,Meera Singh,1,59,8,3,117093,182,14,4812,49,0,875784,4727.23,2
C098,Amit Singh,1,19,8,3,124299,24,6,1824,20,1,43776,3582.42,0
C099,Arjun Singh,1,48,6,8,57606,66,6,1655,86,5,109230,2016.43,0
C100,Rohan Kumar,0,41,3,0,36534,130,13,2327,63,1,302510,3850.67,0
C101,Neha Verma,0,24,9,3,119663,114,19,3641,61,3,415074,5296.61,2
C102,Amit Mehta,0,43,6,8,65397,154,22,3986,49,0,613844,4788.17,3
C103,Rahul Jain,1,24,5,4,116387,40,8,2310,71,5,92400,3390.61,0
C104,Neha Jain,1,40,0,1,26016,22,2,3423,1,5,75306,1404.7,1
C105,Divya Kulkarni,0,22,2,5,114789,63,21,5801,13,2,365463,6416.87,2
C106,Vikas Sharma,0,49,2,5,80591,12,1,2714,87,4,32568,2152.8,1
C107,Divya Gupta,0,27,3,0,114812,135,15,4686,51,2,632610,5501.66,2
C108,Sneha Nair,0,57,4,6,48247,12,1,1213,56,5,14556,1185.83,0
C109,Riya Kumar,0,55,2,5,49300,70,5,4102,83,0,287140,3190.53,1
C110,Vikas Singh,1,35,0,1,99065,112,16,4634,62,1,519008,5255.11,2
C111,Pooja Kumar,0,39,7,7,107798,114,19,4022,32,1,458508,5313.25,2
C112,Riya Gupta,1,49,8,3,34268,40,4,4768,30,0,190720,3136.89,1
C113,Meera Mehta,0,35,5,4,111807,6,3,5248,29,5,31488,4159.59,1
C114,Karan Yadav,1,51,6,8,37185,102,17,5349,49,1,545598,5353.79,3
C115,Rahul Singh,0,49,5,4,88704,119,17,1743,45,1,207417,3857.77,0
C116,Pooja Nair,0,59,2,5,111779,72,12,4209,30,1,303048,4612.82,2
C117,Yash Sharma,1,36,7,7,64099,98,14,1581,16,4,154938,3665.45,0
C118,Nikhil Nair,1,37,5,4,33571,147,21,955,40,4,140385,2894.75,0
C119,Meera Kumar,0,45,6,8,148372,48,6,5424,19,3,260352,5239.06,1
C120,Vikas Gupta,0,35,2,5,130512,15,3,1394,18,2,20910,2937.37,0
C121,Karan Singh,1,30,0,1,63044,108,9,1884,1,0,203472,2418.6,0
C122,Neha Nair,1,30,1,2,76214,45,5,2458,78,0,110610,2194.6,0
C123,Riya Mehta,0,24,5,4,86228,192,24,3572,47,0,685824,5221.87,3
C124,Anjali Singh,0,29,5,4,139752,170,17,2496,66,3,424320,4324.43,2
C125,Amit Nair,1,35,0,1,73984,112,14,4785,38,4,535920,4317.65,3
C126,Priya Yadav,0,26,8,3,65774,84,21,1004,51,5,84336,4044.78,0
C127,Neha Sharma,0,48,7,7,27568,12,3,1714,63,5,20568,1230.53,0
C128,Yash Gupta,1,21,7,7,145151,9,1,2031,4,3,18279,3424.61,0
C129,Riya Patel,1,43,0,1,87592,120,20,3940,1,5,472800,5590.86,2
C130,Rahul Jain,1,27,7,7,92563,105,21,1323,8,0,138915,4754.19,0
C131,Anjali Patel,1,25,9,3,27695,207,23,1428,29,2,295596,3744.42,0
C132,Divya Jain,1,51,2,5,149375,7,1,5529,55,1,38703,3598.37,1
C133,Yash Kumar,0,55,4,6,73190,9,3,5736,3,4,51624,3254.34,1
C134,Anjali Jain,1,57,4,6,30258,90,18,633,32,4,56970,2792.81,0
C135,Rohan Kulkarni,1,34,3,0,112538,130,10,2605,10,3,338650,3531.66,0
C136,Sneha Singh,1,53,3,0,64504,264,22,4127,74,4,1089528,5010.16,3
C137,Sneha Sharma,0,46,3,0,58159,15,3,5280,83,0,79200,3563.41,1
C138,Riya Mehta,1,32,6,8,38986,56,8,2352,34,5,131712,1874.26,0
C139,Anjali Nair,0,22,0,1,86858,98,14,5410,87,0,530180,5419.88,2
C140,Karan Kulkarni,1,45,5,4,37666,48,24,5768,55,3,276864,5729.21,3
C141,Pooja Kulkarni,1,35,3,0,63660,162,18,4675,32,0,757350,4831.62,3
C142,Rahul Sharma,1,37,9,3,28561,105,15,3433,50,5,360465,3215.88,3
C143,Anjali Kumar,1,47,6,8,51854,88,22,3784,7,2,332992,4480.02,3
C144,Nikhil Mehta,0,46,0,1,89505,230,23,4798,8,3,1103540,5294.01,3
C145,Priya Joshi,0,56,3,0,129488,6,2,3311,65,2,19866,3856.2,1
C146,Amit Patel,1,54,0,1,77251,120,10,5848,57,1,701760,4866.85,3
C147,Amit Kulkarni,0,54,6,8,47662,18,2,1750,67,2,31500,1145.54,0
C148,Sneha Kumar,0,35,8,3,33392,187,17,4012,88,1,750244,3779.29,3
C149,Divya Kulkarni,0,23,9,3,55535,32,8,1756,87,1,56192,2537.57,0
C150,Meera Joshi,0,38,7,7,103603,14,1,3876,59,2,54264,2940.79,1
C151,Sneha Gupta,0,49,3,0,138569,117,9,5762,72,3,674154,4599.63,2
C152,Nikhil Yadav,1,47,0,1,77256,66,11,3986,54,5,263076,3676.61,1
C153,Vikas Mehta,0,25,3,0,114135,154,22,4084,67,0,628936,6366.74,2
C154,Amit Kulkarni,0,44,4,6,60222,176,16,1896,51,0,333696,3309.94,0
C155,Rohan Yadav,0,57,8,3,102373,49,7,4137,8,5,202713,3774.5,1
C156,Yash Sharma,1,35,7,7,104575,50,10,3830,34,1,191500,3765.57,1
C157,Arjun Mehta,0,49,2,5,148684,92,23,3203,35,1,294676,6287.64,2
C158,Amit Kulkarni,1,28,3,0,121354,15,3,970,88,3,14550,2554.36,0
C159,Amit Yadav,0,23,0,1,109651,36,18,5631,78,4,202716,5553.01,2
C160,Neha Kumar,1,59,5,4,88335,120,24,1853,32,2,222360,4462.18,0
C161,Riya Nair,0,50,9,3,35965,26,13,3283,46,1,85358,3669.89,0
C162,Divya Kumar,0,33,0,1,49538,91,7,3331,16,0,303121,2267.26,1
C163,Arjun Joshi,1,56,7,7,133066,8,4,5563,68,3,44504,4574.18,1
C164,Arjun Patel,0,44,2,5,95592,143,13,857,37,2,122551,2647.67,0
C165,Karan Sharma,0,37,1,2,123018,140,20,3519,54,3,492660,5689.08,2
C166,Riya Verma,0,52,6,8,138252,6,1,1167,85,2,7002,2893.32,0
C167,Meera Gupta,0,47,7,7,33110,96,8,4968,14,2,476928,3523.89,1
C168,Rohan Nair,1,54,1,2,104309,70,14,5627,55,5,393890,5165.72,2
C169,Pooja Joshi,1,38,4,6,52266,224,16,1645,48,1,368480,3754.94,0
C170,Nikhil Joshi,1,49,7,7,77992,168,14,5967,82,3,1002456,5630.67,3
C171,Arjun Yadav,0,24,8,3,107948,48,12,4685,7,3,224880,4602.48,1
C172,Neha Yadav,0,18,7,7,147073,38,19,4219,74,5,160322,5827.44,2
C173,Divya Kulkarni,1,22,9,3,123806,161,23,3245,7,0,522445,5797.59,2
C174,Karan Gupta,0,59,7,7,31910,45,15,1039,33,0,46755,2499.0,0
C175,Vikas Kulkarni,0,38,3,0,135989,18,2,3279,23,1,59022,3240.32,1
C176,Priya Jain,1,33,7,7,115982,22,2,5464,85,1,120208,3731.11,1
C177,Pooja Nair,1,45,0,1,146626,138,23,4636,19,4,639768,7096.72,2
C178,Neha Kumar,1,37,3,0,144176,176,22,5335,19,5,938960,6901.45,2
C179,Priya Gupta,1,36,8,3,25206,209,19,4275,36,0,893475,4010.06,3
C180,Meera Joshi,1,33,1,2,112054,286,22,5820,29,2,1664520,5621.27,3
C181,Divya Jain,1,28,2,5,112897,66,22,5524,60,3,364584,5803.52,2
C182,Rahul Jain,0,57,9,3,147409,238,17,3008,82,1,715904,5454.96,2
C183,Riya Jain,1,32,5,4,48419,180,20,3279,2,3,590220,3637.47,3
C184,Karan Kumar,0,60,7,7,75636,30,10,1424,1,3,42720,2920.84,0
C185,Yash Mehta,1,22,8,3,147546,30,6,3456,47,4,103680,3823.12,1
C186,Meera Jain,0,58,7,7,139238,30,15,2081,69,0,62430,4644.46,0
C187,Karan Kumar,0,30,4,6,75015,132,22,3824,20,1,504768,5122.78,3
C188,Riya Patel,1,42,4,6,142478,110,11,4985,11,3,548350,5238.1,2
C189,Meera Jain,0,36,6,8,147096,10,5,755,2,1,7550,2952.36,0
C190,Nikhil Mehta,1,54,8,3,132059,10,1,5304,67,2,53040,3829.1,1
C191,Riya Mehta,1,56,8,3,79268,96,8,2338,87,4,224448,2751.08,0
C192,Pooja Kulkarni,1,57,1,2,135687,189,21,2444,12,2,461916,5555.87,2
C193,Arjun Kulkarni,1,58,0,1,112939,84,12,509,20,1,42756,3553.79,0
C194,Anjali Kumar,1,55,8,3,43141,96,12,3371,5,1,323616,2901.27,0
C195,Arjun Patel,0,38,1,2,105356,20,5,1297,37,0,25940,2618.8,0
C196,Sneha Singh,1,52,4,6,130878,14,7,5472,38,3,76608,4777.34,1
C197,Karan Verma,0,48,1,2,96910,24,4,5624,9,3,134976,3957.18,1
C198,Vikas Patel,0,22,0,1,81044,78,6,1515,53,2,118170,2515.94,0
C199,Pooja Kulkarni,0,53,9,3,92214,169,13,2324,44,4,392756,3636.0,0
C200,Rahul Joshi,1,34,1,2,142930,60,20,4969,86,5,298140,6366.81,2
C201,Neha Kumar,0,34,2,5,144324,90,15,3636,24,3,327240,5422.87,2
C202,Nikhil Kulkarni,0,24,6,8,58827,27,3,2693,81,0,72711,2227.27,1
C203,Riya Sharma,0,57,5,4,80820,276,23,723,74,2,199548,4377.13,0
C204,Rahul Kulkarni,0,37,5,4,87623,80,8,5858,30,2,468640,4621.75,1
C205,Neha Verma,1,20,4,6,106734,60,20,5448,59,5,326880,5352.53,2
C206,Riya Patel,1,33,0,1,100450,208,16,4658,87,0,968864,5340.09,3
C207,Arjun Joshi,0,41,2,5,118426,52,13,5836,81,4,303472,5481.72,2
C208,Divya Jain,1,44,2,5,142845,72,18,4425,81,0,318600,5517.94,2
C209,Riya Jain,0,35,3,0,47299,20,10,5284,14,4,105680,3999.63,1
C210,Meera Singh,0,46,8,3,68585,171,19,4500,9,0,769500,4764.28,3
C211,Meera Patel,0,52,5,4,134225,119,17,2133,40,0,253827,4721.34,2
C212,Priya Joshi,0,30,1,2,89044,312,24,2652,66,1,827424,4991.56,3
C213,Yash Patel,1,59,3,0,67557,266,19,1010,25,2,268660,3737.57,0
C214,Amit Sharma,0,33,6,8,74080,207,23,884,73,0,182988,3944.99,0
C215,Rohan Patel,1,55,9,3,134556,60,5,904,22,5,54240,3205.18,0
C216,Pooja Gupta,1,56,5,4,27693,210,21,5113,4,0,1073730,4683.29,3
C217,Karan Verma,1,52,8,3,120003,138,23,5071,26,3,699798,6225.63,2
C218,Sneha Patel,1,26,0,1,120259,117,9,2500,58,2,292500,3984.75,0
C219,Meera Singh,0,19,8,3,137235,48,12,3256,29,3,156288,4542.26,2
C220,Karan Sharma,1,44,9,3,94163,126,21,2168,87,2,273168,4975.7,0
C221,Neha Nair,1,48,2,5,50939,6,1,1960,37,3,11760,1863.96,0
C222,Meera Yadav,1,46,7,7,73925,6,1,4136,75,0,24816,2276.03,1
C223,Pooja Jain,1,60,2,5,67941,60,15,3224,70,0,193440,4280.29,0
C224,Anjali Kumar,1,21,2,5,46834,24,2,5309,18,1,127416,2362.05,1
C225,Nikhil Joshi,1,49,7,7,43047,242,22,4678,85,5,1132076,5274.48,3
C226,Rahul Patel,0,56,7,7,51105,80,16,5764,42,3,461120,5312.48,3
C227,Rahul Verma,0,57,9,3,100766,80,8,2548,41,4,203840,3625.74,0
C228,Vikas Joshi,0,47,6,8,40707,182,13,4646,38,1,845572,3149.61,3
C229,Divya Patel,1,59,2,5,46976,231,21,5280,34,3,1219680,5391.71,3
C230,Rohan Joshi,0,32,2,5,69262,10,1,1216,17,3,12160,2258.37,0
C231,Vikas Kumar,0,44,4,6,48776,48,16,5044,37,1,242112,4326.13,3
C232,Vikas Joshi,0,60,3,0,55080,63,7,5476,25,0,344988,3572.39,1
C233,Meera Verma,0,22,0,1,91842,45,5,5083,76,3,228735,3400.13,1
C234,Rahul Patel,0,24,3,0,86373,176,22,2323,87,0,408848,4842.27,2
C235,Arjun Yadav,1,55,1,2,31776,207,23,2581,86,1,534267,4520.74,3
C236,Vikas Kulkarni,1,44,2,5,117787,12,3,3919,85,0,47028,3707.78,1
C237,Divya Nair,1,36,1,2,80016,168,12,2074,27,2,348432,4308.73,0
C238,Anjali Gupta,1,54,6,8,34474,112,16,749,57,4,83888,2709.17,0
C239,Rohan Verma,0,32,2,5,130830,38,19,1173,31,3,44574,4163.8,0
C240,Meera Yadav,0,25,3,0,83053,40,5,5033,6,5,201320,3658.64,1
C241,Pooja Joshi,1,56,0,1,46959,44,22,2665,40,4,117260,3552.2,0
C242,Amit Verma,0,37,0,1,30530,140,14,1270,12,0,177800,2422.52,0
C243,Meera Sharma,1,27,1,2,119856,10,5,4462,53,3,44620,4446.85,1
C244,Nikhil Patel,1,58,6,8,144101,30,15,4863,71,0,145890,5761.11,2
C245,Rahul Nair,1,42,8,3,28748,136,17,2484,10,2,337824,3394.45,0
C246,Yash Gupta,1,41,4,6,122504,42,14,1577,45,1,66234,4615.74,0
C247,Vikas Jain,1,21,0,1,123098,120,20,735,17,3,88200,4422.54,0
C248,Sneha Jain,1,23,9,3,38545,45,5,888,26,2,39960,1867.52,0
C249,Yash Kulkarni,0,49,0,1,91199,108,12,3537,85,2,381996,4084.73,2
C250,Yash Joshi,0,31,6,8,59766,64,16,5358,62,3,342912,4805.8,3
C251,Neha Gupta,0,25,2,5,98530,128,16,2348,46,0,300544,3854.56,0
C252,Riya Yadav,0,20,0,1,118557,84,21,5219,64,5,438396,5980.39,2
C253,Nikhil Jain,1,18,5,4,86087,49,7,3314,2,2,162386,2871.95,1
C254,Anjali Singh,1,34,5,4,120839,28,4,3874,54,4,108472,3619.91,1
C255,Vikas Patel,1,49,0,1,141183,4,1,3778,65,2,15112,3677.17,1
C256,Sneha Verma,0,52,4,6,93840,40,5,1752,51,5,70080,2287.79,0
C257,Meera Patel,0,20,5,4,143451,92,23,4481,53,0,412252,7094.87,2
C258,Amit Kumar,1,38,4,6,79384,90,10,5173,36,0,465570,4284.74,1
C259,Divya Jain,0,58,6,8,76005,242,22,2622,26,4,634524,4715.11,3
C260,Anjali Patel,0,19,4,6,71576,25,5,5030,29,2,125750,3665.04,1
C261,Sneha Jain,0,41,1,2,64353,56,4,2650,21,0,148400,2124.12,1
C262,Divya Patel,1,45,3,0,87003,4,2,5359,11,5,21436,3469.74,1
C263,Nikhil Yadav,1,43,6,8,108211,100,20,1829,40,3,182900,4448.26,0
C264,Vikas Singh,0,28,0,1,77733,80,10,1858,11,1,148640,3483.9,0
C265,Neha Yadav,1,40,3,0,90318,228,19,2982,36,1,679896,4360.88,3
C266,Arjun Singh,1,27,1,2,134953,5,1,5042,59,1,25210,3927.94,1
C267,Rohan Verma,1,59,0,1,114474,336,24,2517,39,2,845712,5576.85,2
C268,Sneha Kulkarni,0,47,3,0,48664,35,5,1831,54,4,64085,2089.26,0
C269,Yash Kulkarni,0,58,6,8,92172,130,13,4844,55,0,629720,4463.61,2
C270,Arjun Kumar,1,48,1,2,110616,8,4,4761,24,3,38088,3536.94,1
C271,Anjali Mehta,1,40,7,7,118264,224,16,1858,22,5,416192,4174.22,0
C272,Rahul Mehta,0,46,2,5,140386,144,24,5615,69,3,808560,7109.54,2
C273,Priya Gupta,0,22,8,3,51736,192,16,5137,56,5,986304,4450.84,3
C274,Nikhil Kumar,1,46,3,0,119209,184,23,5354,33,2,985136,6660.9,3
C275,Rohan Gupta,0,50,6,8,128041,4,2,3677,36,1,14708,3590.67,1
C276,Priya Kumar,1,39,9,3,137859,85,17,2628,20,2,223380,4344.61,2
C277,Sneha Sharma,1,46,3,0,137181,140,20,2680,83,4,375200,5469.96,2
C278,Sneha Gupta,0,36,7,7,25854,72,24,5392,81,4,388224,5830.15,3
C279,Divya Gupta,1,58,4,6,115084,132,12,637,62,5,84084,3786.79,0
C280,Rahul Gupta,1,53,1,2,63623,108,18,3972,73,0,428976,4631.15,3
C281,Anjali Mehta,1,39,4,6,32392,36,3,5949,26,0,214164,2610.21,1
C282,Arjun Gupta,0,59,3,0,80680,11,1,3332,66,5,36652,2639.67,1
C283,Arjun Jain,1,37,4,6,71717,2,1,4079,73,4,8158,2845.33,1
C284,Nikhil Kulkarni,0,26,2,5,144937,133,19,3531,73,4,469623,5613.78,2
C285,Rahul Kulkarni,0,50,2,5,112092,77,11,4664,40,4,359128,4728.8,2
C286,Amit Gupta,0,29,1,2,75859,70,5,3093,17,2,216510,3273.33,1
C287,Vikas Kumar,1,32,5,4,129095,60,12,4800,1,4,288000,4799.24,2
C288,Arjun Patel,0,24,9,3,51309,42,3,4318,89,3,181356,2323.45,1
C289,Priya Kulkarni,0,57,2,5,112455,9,1,4638,61,1,41742,3637.93,1
C290,Nikhil Verma,1,29,9,3,88734,5,1,4323,43,4,21615,3101.32,1
C291,Sneha Nair,0,20,6,8,95467,72,8,4542,42,5,327024,4290.36,1
C292,Meera Kulkarni,1,46,4,6,77662,140,10,2406,25,1,336840,3377.97,0
C293,Anjali Nair,0,32,6,8,123506,99,11,1260,39,2,124740,3443.26,0
C294,Pooja Mehta,0,30,2,5,134751,72,12,3945,35,5,284040,4971.67,2
C295,Yash Kumar,0,42,1,2,143906,182,13,1399,3,1,254618,3865.6,0
C296,Divya Verma,1,56,2,5,37688,60,12,4955,44,5,297300,3664.47,1
C297,Karan Sharma,0,41,9,3,50342,182,14,3447,51,2,627354,3792.42,3
C298,Neha Nair,1,36,2,5,62157,28,2,2219,12,3,62132,1840.85,0
C299,Sneha Mehta,0,50,3,0,92863,57,19,780,19,2,44460,4686.36,0
C300,Divya Patel,1,46,9,3,131308,216,18,3766,44,2,813456,4880.06,2
